Date/Time: 2018-02-23-13-19-05
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:D0:C9:A5
Units: seconds, kPa, mmHg
36.11, 0.54, 4.07
36.36, 0.54, 4.06
36.62, 0.52, 3.88
36.87, 0.53, 4.01
37.12, 0.48, 3.63
37.38, 0.48, 3.58
37.63, 0.47, 3.54
37.89, 0.53, 4.01
38.15, 0.57, 4.25
38.40, 0.60, 4.48
38.65, 2.58, 19.38
38.91, 2.08, 15.63
39.17, 1.63, 12.25
39.42, 8.19, 61.48
39.68, 15.16, 113.73
39.93, 12.36, 92.74
40.19, 8.63, 64.75
40.44, 0.95, 7.13
40.70, 0.47, 3.54
40.95, 0.47, 3.54
41.21, 0.47, 3.54
41.47, 0.60, 4.48
41.73, 0.91, 6.80
41.99, 1.04, 7.79
42.24, 1.07, 8.01
42.50, 0.92, 6.91
42.76, 0.72, 5.39
43.01, 0.64, 4.78
43.27, 0.51, 3.84
43.53, 0.80, 5.98
43.79, 0.60, 4.51
44.04, 0.94, 7.03
44.30, 1.00, 7.52
44.55, 1.55, 11.63
44.80, 2.51, 18.80
45.06, 1.88, 14.07
45.31, 1.88, 14.14
45.57, 1.03, 7.73
45.82, 0.92, 6.89
46.08, 0.97, 7.30
46.33, 0.57, 4.28
46.59, 0.54, 4.02
46.85, 0.64, 4.78
47.10, 0.53, 4.01
47.35, 0.47, 3.54
47.60, 0.47, 3.54
47.86, 0.47, 3.54
48.11, 0.47, 3.54
48.36, 0.47, 3.54
48.62, 0.47, 3.54
48.88, 0.47, 3.54
49.13, 0.47, 3.55
49.38, 0.47, 3.54
49.63, 0.47, 3.54
49.89, 0.47, 3.54
50.15, 0.47, 3.54
50.41, 0.47, 3.54
50.66, 0.47, 3.54
50.92, 0.47, 3.54
51.17, 0.47, 3.54
51.43, 0.47, 3.54
51.68, 0.47, 3.54
51.93, 0.47, 3.54
52.18, 0.47, 3.54
52.44, 0.48, 3.58
52.70, 0.47, 3.54
52.95, 0.47, 3.54
53.21, 0.47, 3.54
53.47, 0.47, 3.54
53.72, 0.47, 3.54
53.98, 0.47, 3.54
54.24, 0.47, 3.54
54.49, 0.47, 3.54
54.75, 0.47, 3.54
55.00, 0.47, 3.54
55.26, 0.47, 3.54
55.52, 0.47, 3.54
55.77, 0.47, 3.54
56.03, 0.47, 3.54
56.28, 0.47, 3.54
56.53, 0.47, 3.54
56.79, 0.47, 3.54
57.04, 0.47, 3.54
57.30, 0.47, 3.54
57.55, 0.47, 3.54
57.80, 0.47, 3.54
58.05, 0.47, 3.54
58.31, 0.47, 3.54
58.57, 0.47, 3.54
58.82, 0.47, 3.54
59.08, 0.47, 3.54
59.33, 0.47, 3.54
59.58, 0.47, 3.54
59.84, 0.47, 3.54
60.09, 0.47, 3.54
60.35, 0.47, 3.54
60.60, 0.47, 3.54
60.85, 0.47, 3.54
61.10, 0.47, 3.54
61.36, 0.47, 3.54
61.61, 0.47, 3.54
61.87, 0.47, 3.54
62.12, 0.54, 4.02
62.37, 0.74, 5.58
62.62, 1.22, 9.13
62.88, 1.02, 7.65
63.13, 0.94, 7.06
63.39, 0.91, 6.80
63.65, 0.89, 6.69
63.90, 0.85, 6.36
64.16, 0.84, 6.32
64.42, 0.90, 6.78
64.67, 0.88, 6.59
64.93, 0.88, 6.62
65.18, 0.88, 6.61
65.44, 0.88, 6.62
65.70, 0.87, 6.54
65.95, 0.98, 7.38
66.20, 1.67, 12.50
66.46, 2.74, 20.58
66.72, 2.38, 17.82
66.98, 3.82, 28.62
67.23, 5.97, 44.80
67.48, 5.46, 40.96
67.74, 9.26, 69.46
67.99, 8.70, 65.24
68.24, 12.26, 92.00
68.50, 14.99, 112.44
68.76, 15.76, 118.25
69.01, 20.55, 154.15
69.27, 19.87, 149.11
69.52, 24.56, 184.23
69.78, 23.46, 176.01
70.03, 29.50, 221.30
70.29, 28.50, 213.82
70.55, 27.99, 210.02
70.80, 27.74, 208.12
71.05, 27.49, 206.24
71.31, 27.30, 204.80
71.56, 27.20, 204.04
71.82, 27.03, 202.78
72.07, 26.90, 201.83
72.32, 26.79, 200.98
72.58, 26.72, 200.43
72.84, 26.50, 198.81
73.10, 26.25, 196.97
73.36, 26.06, 195.52
73.61, 25.79, 193.52
73.87, 25.52, 191.46
74.13, 25.31, 189.90
74.38, 25.05, 187.96
74.64, 24.79, 186.02
74.89, 24.64, 184.84
75.14, 24.37, 182.81
75.40, 24.09, 180.76
75.66, 23.89, 179.22
75.91, 23.62, 177.20
76.16, 23.36, 175.27
76.42, 23.12, 173.47
76.68, 22.95, 172.15
76.93, 22.69, 170.24
77.19, 22.45, 168.41
77.45, 22.28, 167.19
77.70, 22.02, 165.23
77.96, 21.77, 163.36
78.21, 21.60, 162.04
78.47, 21.29, 159.75
78.72, 21.04, 157.82
78.98, 20.90, 156.78
79.23, 20.59, 154.51
79.49, 20.34, 152.57
79.75, 20.22, 151.69
80.00, 19.93, 149.53
80.25, 19.68, 147.67
80.51, 19.48, 146.15
80.76, 19.36, 145.25
81.02, 19.06, 143.00
81.27, 18.82, 141.23
81.53, 18.79, 140.96
81.79, 18.48, 138.62
82.04, 18.22, 136.71
82.30, 18.00, 135.06
82.56, 17.99, 134.98
82.81, 17.67, 132.55
83.07, 17.42, 130.71
83.33, 17.21, 129.12
83.59, 17.19, 128.95
83.84, 16.87, 126.55
84.10, 16.65, 124.90
84.36, 16.64, 124.87
84.61, 16.36, 122.74
84.87, 16.12, 120.95
85.12, 15.96, 119.73
85.38, 15.93, 119.48
85.63, 15.63, 117.25
85.89, 15.41, 115.59
86.14, 15.45, 115.92
86.40, 15.22, 114.19
86.66, 14.93, 112.05
86.91, 14.73, 110.49
87.17, 14.81, 111.12
87.43, 14.53, 108.99
87.68, 14.25, 106.90
87.94, 14.27, 107.06
88.20, 14.12, 105.94
88.45, 13.82, 103.70
88.71, 13.61, 102.11
88.97, 13.71, 102.88
89.23, 13.44, 100.87
89.48, 13.19, 98.94
89.74, 13.29, 99.70
89.99, 13.10, 98.27
90.25, 12.87, 96.57
90.50, 12.75, 95.64
90.76, 12.82, 96.20
91.01, 12.80, 96.05
91.27, 12.75, 95.65
91.53, 13.00, 97.50
91.79, 12.95, 97.13
92.04, 12.87, 96.54
92.30, 13.03, 97.78
92.56, 13.01, 97.64
92.81, 12.94, 97.10
93.07, 13.12, 98.44
93.33, 13.08, 98.13
93.58, 13.00, 97.53
93.84, 13.17, 98.77
94.09, 13.12, 98.41
94.35, 12.98, 97.35
94.60, 13.04, 97.86
94.85, 13.00, 97.56
95.10, 12.92, 96.96
95.36, 13.09, 98.17
95.62, 13.10, 98.28
95.87, 13.00, 97.53
96.13, 13.02, 97.72
96.38, 13.10, 98.25
96.64, 13.04, 97.86
96.90, 13.00, 97.51
97.15, 13.11, 98.39
97.41, 13.03, 97.73
97.66, 12.89, 96.74
97.92, 13.15, 98.68
98.18, 13.10, 98.30
98.43, 13.00, 97.56
98.69, 13.23, 99.28
98.95, 13.19, 98.94
99.20, 13.11, 98.38
99.46, 13.27, 99.56
99.72, 13.24, 99.32
99.98, 13.15, 98.65
100.24, 13.30, 99.81
100.49, 13.26, 99.46
100.74, 13.13, 98.50
101.00, 13.27, 99.59
101.25, 13.19, 98.98
101.51, 13.07, 98.09
101.76, 13.29, 99.72
102.02, 13.25, 99.39
102.27, 13.13, 98.47
102.53, 13.28, 99.67
102.79, 13.23, 99.29
103.05, 13.13, 98.50
103.31, 13.26, 99.46
103.57, 13.20, 99.04
103.82, 13.10, 98.25
104.07, 13.21, 99.13
104.33, 13.15, 98.66
104.58, 13.08, 98.11
104.83, 13.51, 101.39
105.09, 13.62, 102.21
105.34, 13.63, 102.28
105.60, 13.74, 103.10
105.86, 13.80, 103.56
106.12, 13.70, 102.77
106.37, 13.48, 101.10
106.63, 13.65, 102.38
106.89, 13.62, 102.16
107.14, 13.63, 102.28
107.40, 13.75, 103.17
107.65, 13.66, 102.46
107.91, 13.57, 101.84
108.16, 13.79, 103.45
108.42, 13.62, 102.17
108.68, 13.57, 101.83
108.93, 13.71, 102.85
109.18, 13.58, 101.89
109.44, 13.48, 101.15
109.69, 13.76, 103.21
109.94, 13.78, 103.35
110.19, 13.69, 102.74
110.44, 13.79, 103.45
110.70, 13.56, 101.75
110.95, 13.41, 100.60
111.21, 13.63, 102.27
111.46, 13.57, 101.80
111.72, 13.44, 100.85
111.97, 13.68, 102.63
112.23, 13.53, 101.48
112.49, 13.41, 100.58
112.75, 13.53, 101.51
113.00, 13.36, 100.25
113.25, 13.46, 100.96
113.51, 13.45, 100.95
113.77, 13.33, 100.02
114.02, 13.49, 101.23
114.27, 13.44, 100.87
114.53, 13.30, 99.80
114.78, 13.40, 100.57
115.04, 13.44, 100.87
115.30, 13.31, 99.83
115.56, 13.18, 98.90
115.81, 13.47, 101.04
116.07, 13.33, 100.02
116.33, 13.18, 98.88
116.58, 13.40, 100.55
116.84, 13.35, 100.14
117.10, 13.12, 98.46
117.36, 13.06, 98.00
117.61, 13.35, 100.14
117.86, 13.38, 100.41
118.12, 13.31, 99.87
118.38, 13.56, 101.76
118.63, 13.48, 101.12
118.89, 13.28, 99.65
119.15, 13.43, 100.79
119.41, 13.40, 100.52
119.66, 13.27, 99.53
119.91, 13.39, 100.43
120.17, 13.36, 100.20
120.42, 13.23, 99.28
120.67, 13.41, 100.61
120.93, 13.38, 100.38
121.19, 13.24, 99.35
121.44, 13.28, 99.61
121.70, 12.85, 96.39
121.95, 12.32, 92.42
122.20, 11.96, 89.70
122.46, 11.66, 87.46
122.72, 11.18, 83.84
122.97, 10.70, 80.30
123.23, 10.49, 78.71
123.49, 10.05, 75.43
123.74, 9.64, 72.30
124.00, 9.33, 70.00
124.25, 9.05, 67.90
124.51, 8.70, 65.30
124.77, 8.36, 62.71
125.03, 8.13, 61.02
125.28, 7.85, 58.88
125.54, 7.53, 56.47
125.79, 7.33, 55.02
126.04, 7.05, 52.93
126.29, 6.72, 50.42
126.55, 6.36, 47.73
126.81, 5.53, 41.49
127.07, 4.43, 33.24
127.33, 3.61, 27.11
127.58, 3.07, 23.00
127.84, 2.64, 19.82
128.10, 2.30, 17.29
128.35, 2.04, 15.32
128.61, 1.79, 13.44
128.87, 1.66, 12.43
129.13, 1.59, 11.95
129.38, 1.45, 10.84
129.64, 1.32, 9.91
129.90, 1.24, 9.32
130.16, 1.44, 10.78
130.41, 1.44, 10.81
130.67, 1.49, 11.21
130.92, 1.45, 10.86
131.18, 1.45, 10.88
131.44, 1.38, 10.36
131.69, 1.42, 10.62
131.94, 1.21, 9.05
132.19, 1.11, 8.31
132.45, 1.13, 8.45
132.71, 1.16, 8.70
132.96, 1.11, 8.36
133.21, 0.94, 7.08
133.47, 0.75, 5.65
133.73, 0.61, 4.56
133.98, 0.59, 4.43
134.24, 0.60, 4.48
134.49, 0.57, 4.31
134.74, 0.60, 4.50
135.00, 0.61, 4.61
135.25, 0.70, 5.27
135.50, 0.86, 6.48
135.75, 0.66, 4.99
136.00, 0.57, 4.29
136.26, 0.54, 4.06
136.51, 0.54, 4.09
136.77, 0.55, 4.13
137.03, 0.55, 4.15
137.28, 0.55, 4.10
137.54, 0.59, 4.42
137.80, 0.69, 5.21
138.05, 0.66, 4.92
138.30, 0.58, 4.32
138.56, 0.70, 5.25
138.82, 0.74, 5.52
139.08, 0.69, 5.14
139.33, 0.62, 4.65
139.59, 0.60, 4.53
139.84, 0.58, 4.34
140.10, 0.59, 4.45
140.35, 0.62, 4.65
140.61, 0.61, 4.54
140.87, 0.57, 4.28
141.12, 0.54, 4.07
141.37, 0.52, 3.93
141.63, 0.58, 4.32
141.89, 0.53, 3.99
142.15, 0.51, 3.84
142.40, 0.53, 3.99
142.66, 0.53, 3.95
142.92, 0.49, 3.71
143.17, 0.49, 3.66
143.42, 0.48, 3.63
143.68, 0.48, 3.58
143.94, 0.48, 3.60
144.20, 0.47, 3.55
144.45, 0.77, 5.76
144.72, 0.59, 4.40
144.96, 0.60, 4.50
145.23, 0.63, 4.72
145.48, 0.63, 4.72
145.74, 0.62, 4.64
145.99, 0.50, 3.77
146.25, 0.51, 3.82
146.50, 0.51, 3.80
146.75, 0.50, 3.76
147.01, 0.49, 3.68
147.27, 0.50, 3.76
147.53, 0.49, 3.69
147.78, 0.49, 3.65
148.03, 0.48, 3.63
148.29, 0.48, 3.60
148.54, 0.48, 3.58
148.79, 0.48, 3.60
149.04, 0.49, 3.66
149.30, 0.48, 3.62
149.55, 0.48, 3.63
149.81, 0.48, 3.58
150.07, 0.47, 3.55
150.32, 0.47, 3.54
150.58, 0.47, 3.54
150.83, 0.47, 3.54
151.09, 0.47, 3.54
151.34, 0.47, 3.54
151.60, 0.47, 3.54
151.85, 0.47, 3.54
152.11, 0.47, 3.54
152.36, 0.47, 3.55
152.62, 0.47, 3.55
152.87, 0.47, 3.54
153.13, 0.47, 3.54
153.38, 0.47, 3.54
153.64, 0.47, 3.54
153.90, 0.47, 3.54
154.16, 0.47, 3.54
154.42, 0.47, 3.54
154.67, 0.47, 3.54
154.93, 0.47, 3.54
155.19, 0.47, 3.54
155.45, 0.47, 3.54
155.70, 0.47, 3.54
155.95, 0.47, 3.54
156.20, 0.47, 3.54
156.45, 0.47, 3.54
156.71, 0.47, 3.54
156.96, 0.47, 3.54
157.22, 0.47, 3.54
157.47, 0.47, 3.54
157.73, 0.47, 3.54
157.98, 0.47, 3.54
158.23, 0.47, 3.54
158.49, 0.50, 3.73
158.74, 0.53, 3.96
159.00, 0.54, 4.04
159.25, 0.51, 3.84
159.51, 0.47, 3.54
159.77, 0.47, 3.54
160.02, 0.47, 3.54
160.27, 0.52, 3.87
160.52, 0.47, 3.54
160.78, 0.47, 3.54
161.04, 0.47, 3.54
161.29, 0.52, 3.90
161.55, 0.53, 3.95
161.80, 0.51, 3.80
162.06, 0.51, 3.80
162.31, 0.48, 3.58
162.57, 0.47, 3.55
162.82, 0.47, 3.54
163.07, 0.51, 3.85
163.32, 0.57, 4.29
163.58, 0.56, 4.21
163.83, 0.52, 3.93
164.09, 0.58, 4.36
164.34, 0.47, 3.54
164.59, 0.47, 3.54
164.85, 0.47, 3.54
165.10, 0.47, 3.54
165.35, 0.47, 3.54
165.61, 0.47, 3.54
165.86, 0.47, 3.54
166.12, 0.47, 3.54
166.37, 0.47, 3.54
166.62, 0.47, 3.54
166.88, 0.47, 3.54
167.13, 0.47, 3.54
167.39, 0.47, 3.54
167.64, 0.47, 3.54
167.90, 0.47, 3.54
168.15, 0.47, 3.54
168.41, 0.47, 3.54
168.67, 0.47, 3.54
168.92, 0.47, 3.54
169.18, 0.47, 3.54
169.44, 0.47, 3.54
169.69, 0.47, 3.54
169.95, 0.47, 3.54
170.21, 0.47, 3.54
170.46, 0.47, 3.54
170.72, 0.47, 3.54
170.98, 0.47, 3.54
171.23, 0.47, 3.54
171.49, 0.47, 3.54
171.74, 0.47, 3.54
171.99, 0.47, 3.54
172.25, 0.47, 3.54
172.51, 0.47, 3.54
172.76, 0.47, 3.54
173.02, 0.47, 3.54
173.27, 0.47, 3.54
173.52, 0.47, 3.54
173.78, 0.47, 3.54
174.03, 0.47, 3.54
174.29, 0.47, 3.54
174.55, 0.47, 3.54
174.80, 0.47, 3.54
175.05, 0.47, 3.54
175.31, 0.47, 3.54
175.56, 0.49, 3.66
175.82, 0.48, 3.63
176.07, 0.47, 3.54
176.33, 0.47, 3.54
176.59, 0.47, 3.54
176.85, 0.47, 3.54
177.10, 0.47, 3.54
177.36, 0.47, 3.54
177.61, 0.47, 3.54
177.86, 0.47, 3.54
178.12, 0.47, 3.54
178.37, 0.47, 3.54
178.62, 0.47, 3.54
178.88, 0.47, 3.54
179.13, 0.47, 3.54
179.38, 0.50, 3.73
179.64, 0.49, 3.66
179.90, 0.50, 3.74
180.15, 0.50, 3.76
180.41, 0.47, 3.54
180.66, 0.50, 3.76
180.92, 0.47, 3.54
181.18, 0.49, 3.65
181.44, 0.48, 3.58
181.69, 0.49, 3.65
181.95, 0.47, 3.54
182.20, 0.47, 3.54
182.45, 0.47, 3.54
182.71, 0.47, 3.54
182.96, 0.47, 3.54
183.21, 0.47, 3.54
183.47, 0.47, 3.54
183.73, 0.47, 3.54
183.98, 0.47, 3.54
184.23, 0.47, 3.54
184.49, 0.47, 3.54
184.75, 0.47, 3.54
185.01, 0.47, 3.54
185.27, 0.47, 3.54
185.52, 0.47, 3.54
185.77, 0.47, 3.54
186.03, 0.47, 3.54
186.28, 0.47, 3.54
186.53, 0.47, 3.54
186.79, 0.47, 3.54
187.05, 0.47, 3.54
187.30, 0.47, 3.54
187.56, 0.47, 3.54
187.81, 0.47, 3.54
188.07, 0.47, 3.54
188.32, 0.47, 3.54
188.57, 0.47, 3.54
188.83, 0.47, 3.54
189.09, 0.47, 3.54
189.34, 0.47, 3.54
189.60, 0.47, 3.54
189.85, 0.47, 3.54
190.10, 0.47, 3.54
190.36, 0.47, 3.54
190.62, 0.50, 3.74
190.87, 0.50, 3.76
191.13, 0.49, 3.69
191.38, 0.48, 3.60
191.64, 0.48, 3.57
191.89, 0.47, 3.54
192.14, 0.47, 3.54
192.40, 0.47, 3.54
192.66, 0.47, 3.54
192.91, 0.47, 3.54
193.17, 0.47, 3.54
193.43, 0.47, 3.54
193.68, 0.47, 3.54
193.94, 0.47, 3.54
194.19, 0.47, 3.54
194.45, 0.47, 3.54
194.70, 0.47, 3.54
194.95, 0.47, 3.54
195.21, 0.47, 3.54
195.46, 0.47, 3.54
195.71, 0.47, 3.54
195.96, 0.47, 3.54
196.22, 0.47, 3.54
196.47, 0.47, 3.54
196.72, 0.47, 3.54
196.98, 0.47, 3.54
197.24, 0.47, 3.54
197.49, 0.47, 3.54
197.75, 0.47, 3.54
198.00, 0.47, 3.54
198.26, 0.47, 3.54
198.51, 0.47, 3.54
198.77, 0.47, 3.54
199.03, 0.47, 3.54
199.28, 0.47, 3.54
199.54, 0.47, 3.54
199.79, 0.47, 3.54
200.04, 0.47, 3.54
200.29, 0.47, 3.54
200.54, 0.47, 3.54
200.80, 0.47, 3.54
201.05, 0.47, 3.54
201.30, 0.47, 3.54
201.56, 0.47, 3.54
201.81, 0.47, 3.54
202.07, 0.47, 3.54
202.32, 0.47, 3.54
202.58, 0.47, 3.54
202.83, 0.47, 3.54
203.09, 0.47, 3.54
203.35, 0.47, 3.54
203.61, 0.47, 3.54
203.86, 0.47, 3.54
204.12, 0.47, 3.54
204.37, 0.47, 3.54
204.62, 0.47, 3.54
204.88, 0.47, 3.54
205.14, 0.47, 3.54
205.39, 0.47, 3.54
205.65, 0.47, 3.54
205.90, 0.47, 3.54
206.16, 0.47, 3.54
206.41, 0.47, 3.54
206.67, 0.47, 3.54
206.93, 0.47, 3.54
207.18, 0.47, 3.54
207.44, 0.47, 3.54
207.69, 0.47, 3.54
207.95, 0.47, 3.54
208.20, 0.47, 3.54
208.46, 0.47, 3.54
208.72, 0.47, 3.54
208.97, 0.47, 3.54
209.23, 0.47, 3.54
209.48, 0.47, 3.54
209.74, 0.47, 3.54
210.00, 0.47, 3.54
210.25, 0.47, 3.54
210.51, 0.47, 3.54
210.77, 0.47, 3.54
211.02, 0.48, 3.60
211.28, 0.49, 3.71
211.53, 0.47, 3.54
211.78, 0.47, 3.54
212.04, 0.47, 3.54
212.29, 0.49, 3.65
212.55, 0.48, 3.58
212.80, 0.48, 3.57
213.05, 0.47, 3.54
213.31, 0.47, 3.54
213.57, 0.47, 3.54
213.83, 0.47, 3.54
214.09, 0.47, 3.55
214.35, 0.47, 3.54
214.60, 0.47, 3.54
214.87, 0.47, 3.54
215.12, 0.49, 3.65
215.37, 0.49, 3.71
215.62, 0.56, 4.18
215.88, 0.54, 4.02
216.13, 0.49, 3.71
216.39, 0.48, 3.57
216.65, 0.49, 3.66
216.92, 0.49, 3.68
217.17, 0.47, 3.54
217.43, 0.47, 3.54
217.68, 0.47, 3.54
217.94, 0.47, 3.54
218.20, 0.51, 3.82
218.45, 0.51, 3.82
218.70, 0.49, 3.71
218.96, 0.47, 3.54
219.21, 0.47, 3.54
219.46, 0.47, 3.54
219.72, 0.47, 3.54
219.97, 0.47, 3.54
220.23, 0.47, 3.54
220.48, 0.47, 3.54
220.73, 0.47, 3.54
220.99, 0.47, 3.54
221.25, 0.47, 3.54
221.50, 0.47, 3.54
221.75, 0.47, 3.54
222.01, 0.49, 3.65
222.27, 0.48, 3.62
222.52, 0.47, 3.54
222.77, 0.47, 3.54
223.02, 0.51, 3.85
223.28, 0.50, 3.76
223.53, 0.48, 3.60
223.79, 0.48, 3.57
224.04, 0.48, 3.62
224.29, 0.48, 3.58
224.54, 0.48, 3.58
224.80, 0.48, 3.63
225.06, 0.50, 3.73
225.32, 0.49, 3.68
225.57, 0.48, 3.60
225.83, 0.48, 3.57
226.08, 0.47, 3.54
226.33, 0.47, 3.54
226.59, 0.47, 3.54
226.84, 0.48, 3.58
227.09, 0.48, 3.62
227.35, 0.47, 3.54
227.60, 0.47, 3.54
227.85, 0.47, 3.54
228.11, 0.47, 3.54
228.36, 0.47, 3.54
228.61, 0.47, 3.54
228.87, 0.47, 3.54
229.12, 0.47, 3.54
229.38, 0.48, 3.62
229.63, 0.53, 3.95
229.88, 0.49, 3.68
230.13, 0.48, 3.63
230.39, 0.48, 3.62
230.64, 0.48, 3.57
230.90, 0.48, 3.57
231.16, 0.47, 3.55
231.41, 0.47, 3.54
231.67, 0.47, 3.54
231.92, 0.47, 3.54
232.17, 0.47, 3.54
232.43, 0.47, 3.54
232.68, 0.47, 3.54
232.94, 0.47, 3.54
233.19, 0.47, 3.54
233.45, 0.47, 3.54
233.70, 0.47, 3.54
233.96, 0.47, 3.54
234.21, 0.47, 3.54
234.46, 0.47, 3.54
234.72, 0.47, 3.54
234.97, 0.47, 3.54
235.22, 0.47, 3.54
235.48, 0.47, 3.54
235.73, 0.47, 3.54
235.99, 0.47, 3.54
236.24, 0.47, 3.54
236.50, 0.47, 3.54
236.75, 0.50, 3.74
237.01, 0.47, 3.54
237.26, 0.48, 3.57
237.51, 0.47, 3.54
237.76, 0.47, 3.54
238.02, 0.47, 3.54
238.27, 0.47, 3.54
238.53, 0.47, 3.54
238.79, 0.47, 3.54
239.04, 0.47, 3.54
239.30, 0.47, 3.54
239.55, 0.47, 3.54
239.80, 0.47, 3.54
240.06, 0.47, 3.54
240.31, 0.47, 3.54
240.56, 0.47, 3.54
240.82, 0.47, 3.55
241.08, 0.47, 3.54
241.33, 0.47, 3.54
241.58, 0.47, 3.54
241.83, 0.47, 3.54
242.09, 0.47, 3.54
242.35, 0.47, 3.54
242.60, 0.47, 3.54
242.85, 0.47, 3.54
243.11, 0.47, 3.54
243.36, 0.47, 3.54
243.61, 0.47, 3.54
243.86, 0.47, 3.54
244.12, 0.47, 3.54
244.38, 0.47, 3.54
244.63, 0.47, 3.54
244.89, 0.47, 3.54
245.14, 0.47, 3.54
245.40, 0.47, 3.54
245.65, 0.47, 3.54
245.90, 0.47, 3.54
246.16, 0.47, 3.54
246.41, 0.47, 3.54
246.67, 0.47, 3.54
246.92, 0.47, 3.54
247.18, 0.47, 3.54
247.43, 0.47, 3.54
247.69, 0.47, 3.54
247.94, 0.47, 3.54
248.19, 0.47, 3.54
248.45, 0.47, 3.54
248.71, 0.47, 3.54
248.96, 0.47, 3.54
249.21, 0.47, 3.54
249.47, 0.47, 3.54
249.73, 0.47, 3.54
249.99, 0.47, 3.54
250.24, 0.47, 3.54
250.49, 0.47, 3.54
250.74, 0.47, 3.54
251.00, 0.47, 3.54
251.26, 0.47, 3.54
251.52, 0.47, 3.54
251.78, 0.47, 3.54
252.03, 0.47, 3.54
